id;from_id;to_id;distance;lead_time_days;connection_type;max_capacity
6bd7c71b-4464-443b-ab09-c9f4f3c733fb;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;1ca2e409-943c-4c66-a399-5c5afc052a38;181;3;TRUCK;200
27ee4369-d5fd-46c8-80ff-d537fbd81f21;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;6cf551c3-1f33-4baf-8766-e543ac6a797d;244;5;TRUCK;149
c10849c3-caff-4aeb-afdc-b9b855b58dfa;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;12f20594-ff26-4a87-ae7c-03243a986538;183;2;TRUCK;135
35784d14-68ea-4931-8823-baafc1505f7f;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;c02d9064-5532-45d7-9bba-3391ee2bb683;253;5;TRUCK;134
ddb39ada-49a7-4cd8-8c58-5e22323e024a;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;da5223a5-2695-46c4-b1fa-b4e21250e3f5;278;3;TRUCK;184
9fff1d14-cf55-4e0a-99f5-e19ca19bb466;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;e322d2f4-f656-46d7-b18e-d205bd4e4878;242;6;TRUCK;222
fd2edcdf-1ed4-4a5b-a05b-daa76e28a3a9;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;c8a55053-1f14-4652-a983-b63a0bf8b260;456;6;TRUCK;105
ad9182f5-95ac-49e1-a28e-25893840293f;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;e781e075-fe77-420c-aa6d-1d708af7cf47;659;3;TRUCK;162
be932fa3-2fc5-4935-94d6-65ae06eee1e6;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;022c888f-01da-4c41-a227-b938d80ff888;181;7;TRUCK;253
9ceb696d-5e93-4e13-9c4c-3f8e4a18132d;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;74b34a67-dc4c-4233-931f-3a08edb8bd94;129;8;TRUCK;136
488adca6-819f-4b06-9dad-82dbaa93d13f;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;67072ba6-7a80-4351-bb56-e6d857266c68;677;5;TRUCK;112
f3001065-04e0-4aba-b550-eeb828b3da8a;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;902c34ea-ba1e-47b0-9bfe-1affc2ed09e3;221;5;TRUCK;163
85005697-17b6-418c-8fe1-a5830b4f497a;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;022c888f-01da-4c41-a227-b938d80ff888;201;5;TRUCK;253
8b463e4c-60ee-4a86-a28c-14dbe771aed2;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;78b03a41-7b83-49c4-ac3c-525d813bacc5;485;6;TRUCK;135
cc19e1de-5d91-4ed8-8d54-775040387231;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;da99d7c0-dd1f-4296-94d0-fc9c03b2d6f8;631;5;TRUCK;237
3cc98eba-bfa8-493a-8cf0-5249c3239e05;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;5c57dcf0-c97f-472b-9233-4350fd13eeeb;232;6;TRUCK;228
0b57a8c2-e8e7-430c-a11c-b69fe7f5470e;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;96ef7c92-408e-4fb7-a9b0-10de20f239f0;498;6;TRUCK;93
b6e29470-1b67-4a43-a3c2-bbb22838416f;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;097c8c2e-9831-4794-a426-fb1ff45596e2;202;3;TRUCK;175
ecae07ab-e3aa-4855-800a-76419858504c;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;db390fb5-ed01-40ed-850b-886ceb46084b;321;2;TRUCK;144
aa5f4e70-c3b2-40ee-8619-d216cfd03b25;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;0195adc3-47fa-4a49-b4b8-85b04d4cc4f2;270;4;TRUCK;154
18f64093-56d6-4c48-8ec9-7cba2b16dd59;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;129e1a0d-1ad9-4267-90a0-308bbc7b1ebb;604;5;TRUCK;160
5ec89c31-a479-44e3-ba9d-88e1432e23d2;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;28898363-d564-40fe-a589-22bce4201951;353;4;TRUCK;169
b2ad5029-ef34-4660-8e49-9131a812e1f5;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;2209624e-df95-4813-ae69-391b5b0c4957;637;7;TRUCK;153
4a14ccfb-1edc-469d-a69e-59d11f7ddfff;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;54074355-1a73-4354-9f78-9e73041581fc;560;8;TRUCK;212
006c3b3a-c2f5-4bbc-beb6-bdf6b2c3c153;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;7fd2f166-d105-4e14-addc-47831623c2e7;688;5;TRUCK;146
13d692c1-40a0-40b4-bcb8-3bb006b87e57;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;cb588847-7736-4f61-9328-80d42bba4517;420;7;TRUCK;164
54fbd857-a3a0-4238-9e33-77673d6f14ac;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;54074355-1a73-4354-9f78-9e73041581fc;172;8;TRUCK;212
a0447153-4cd8-4320-b096-0a6431f19e33;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;eb3d38ab-ae89-45c6-b68a-0a4eedb2757f;347;7;TRUCK;95
4568062a-88da-46da-a37e-f16bd3c42e4b;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;910514e7-88f7-43c5-b6c8-62806fb8d5b8;432;6;TRUCK;122
c0a743a1-478c-417d-ac01-6fbf92fe0cc0;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;550cc291-a705-435a-971a-beb2fb0a3b67;455;7;TRUCK;126
3a512440-f73e-4fcf-a7da-510ad38cdfce;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;81e7c211-85fa-4eb2-98a9-786c8fa4f291;661;5;TRUCK;139
5e4299c3-adb7-4922-aaf6-801a7ffdd523;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;b8de749e-1f88-4934-95b2-cf8565064207;254;7;TRUCK;85
e0411978-cc12-43c0-91c7-e16efbbd4842;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;fee40082-2c32-4a63-9895-4d5a174f044a;472;3;TRUCK;167
a6d705bd-97b9-419e-bc92-c2e1ba634cec;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;4b1925b4-8079-4566-a096-4a47136d1708;249;3;TRUCK;113
54c9d49c-8a2e-4bba-8bb3-3f2393e10dfc;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;823f3570-8e41-4708-8af0-e11fe701828f;100;4;TRUCK;114
01dc1327-e462-4227-8b22-5aa9a10f0c93;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;1ca2e409-943c-4c66-a399-5c5afc052a38;627;6;TRUCK;200
0148cf1a-eefe-4eab-a863-3f9f8bbd4652;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;b7754543-934e-4dfd-b591-ebb5dacb3abc;570;2;TRUCK;119
e02b4206-81f0-4927-87a3-82eb348c5b0a;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;256fa900-f1b1-4140-8624-0100e2f6c0e1;539;4;TRUCK;161
f1a932d2-7fb5-4ff4-8cb0-3deae6f98307;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;12f20594-ff26-4a87-ae7c-03243a986538;492;2;TRUCK;135
8ad28df0-71df-4c9f-aab6-b9b69d62d59a;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;50115272-65e5-4dbc-a560-c85c2bb81f08;140;3;TRUCK;152
454a407b-2bab-4991-bd19-a2e105e38735;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;340ee543-77f6-4021-bd4e-3dd6cc627c52;679;6;TRUCK;130
0da8ad83-1c08-4732-93f6-c16a33d4eeeb;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;7875afec-338b-4a3b-83f2-5e421f0c1b00;263;8;TRUCK;208
e8bb1ab8-7f06-462e-b3e4-8955001c1a5c;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;e35266d2-2e30-447a-81ec-9ddf5c5e3657;175;6;TRUCK;114
97b116e6-3f70-418b-bfca-c8197a44a83d;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;60d9c35d-076a-4c76-97b9-ed7b51724b4f;329;3;TRUCK;141
a66016a2-5b90-4e69-987e-7778f4f11349;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;b9238bdf-981c-49b3-953c-3f155e09da55;553;5;TRUCK;115
a1531acd-2016-47cd-ae1e-e00733731ec9;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;77ef6846-c2d8-4a6a-9fdc-8ec0609dd98c;613;2;TRUCK;151
faa2360c-4f2c-4739-9932-e68ad733661c;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;b3eed2a8-0db3-4f15-8746-f2f9bd6c0ebe;605;3;TRUCK;103
ba4d3a86-b3d7-4a34-b451-1c7d42fe3747;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;64fa1675-f09b-4328-af85-39fdba252695;381;2;TRUCK;155
abbdccc7-c0bc-403d-8275-bff569155c09;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;fd43212e-6b39-402c-9106-e66d83035179;659;2;TRUCK;87
90f4a8e3-1062-4dea-b563-69251bd3f9fc;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;022c888f-01da-4c41-a227-b938d80ff888;414;7;TRUCK;253
b6b15592-14e1-486b-ae37-aec556905249;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;71307c05-e67e-4f7e-b349-fb1910680fb9;669;8;TRUCK;156
2b895408-72fe-4d8c-9831-07a18f5e9ae2;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;f1ed2d62-4bb5-4522-9101-b6adcc4802d2;599;7;TRUCK;243
66d89271-0257-4349-9682-f0ce80dd5315;ebd6c655-ede0-4182-abaf-1f3aa5aa8700;671c0632-0e60-49e6-b384-fe77ca1d6fe8;158;6;TRUCK;110
